Question ID,question_text,suggested_topic,quiz_num
80,"Can K-means yield different clusterings with the same K in two runs? If yes, how to determine the best clustering?",K-means Clustering,3
81,"If DBSCAN has a very large radius (epsilon) and a small MinPoints, what can happen?",DBSCAN,3
82,"If DBSCAN has a very small radius (epsilon) and a very large MinPoints, what can happen?",DBSCAN,3
83,"If we use K-means with K=1, where will the centroid be located?",K-means Clustering,3
84,"If, in DBSCAN, the parameter MinPoints is set to two (2), then:",DBSCAN,3
85,"In a dataset with three clusters, where the density of the first cluster (C1) is smaller than the second cluster (C2), and the density of the second cluster is smaller than the third one. What cluster should be considered  When setting the radius (epsilon) of DBSCAN  ?",DBSCAN,3
86,"If the Silhouette coefficient of a data point x is zero, and all clusters are spherical with the same number of points, what does this imply?",Clustering Evaluation,3
87,"If the Silhouette coefficient of a data point x is negative, and all clusters are spherical with the same number of points, what does this imply?",Clustering Evaluation,3
88,"If the cluster shapes are non-elliptical, which of the following algorithms may cluster the data incorrectly?",DBSCAN,3
89,The disadvantage of complete linkage when used to calculate the distance between clusters is:,Similarity Measures,3
90,"In supervised cluster evaluation, if all examples with a supervised class label are evenly split into two pure clusters, then:",Model Evaluation,3
91,What is the main purpose of cross-validation in classification?,Classification,4
92,"What does the term ""overfitting"" refer to in the context of classification models?",Overfitting & Regularization,4
93,"What does the term ""false positive"" represent in a confusion matrix?",Model Evaluation,4
94,What is the purpose of pruning in decision trees?,Decision Trees,4
95,What is the disadvantage of decision trees?,Decision Trees,4
96,Decision tree learners may create biased trees if some classes dominate. What’s the solution of it?,Decision Trees,4
97,Which of the following is a disadvantage of leave-one-out cross-validation (LOOCV)?,Cross-Validation,4
98,What is the advantage of using cross-validation over a single train-test split?,Cross-Validation,4
99,"What does the term ""stratified cross-validation"" refer to?",Cross-Validation,4
100,Which of the following is a method to handle imbalanced class distribution in decision trees?,Decision Trees,4
101,Which of the following is a hyperparameter of Decision Trees:,Decision Trees,4
102,Which of the following methods can help to fine-tune tree depth in Decision Trees:,Decision Trees,4
103,Which of the following metrics can be used with a dataset having unbalanced classes:,K-means Clustering,4
104,How can you detect underfitting from a learning curve?,Overfitting & Regularization,4
105,Which of the following can be a reason for overfitting:,Overfitting & Regularization,4
106,Which of the following can be a reason for underfitting:,Overfitting & Regularization,4
107,Which of the following is true about non-parametric models as compared to parametric models:,Classification,4
108,How can we handle the problem of underfitting in decision trees:,Decision Trees,4
109,Which of the following evaluation methods is not appropriate if the size of the data is small?,Model Evaluation,4
110,What is a decision boundary in the context of decision trees?,Decision Trees,4
111,The highest possible value of the Gini index for a set containing n different types of objects is:,Decision Trees,4
112,The highest possible value of the miss classification error rate for a set containing n different types of objects is:,Classification,4
113,"If we use both Information gain and Gini gain to select the best split in a continuous variable, then:",Decision Trees,4
114,Which scenario allows a decision tree to split all training data into pure leaves?,Decision Trees,4
115,How does a decision tree classify an example after training if it encounters a new attribute value that was not considered in a splitting condition?,Decision Trees,4
116,How does a decision tree manage an example with a missing value in a splitting condition during the testing phase?,Decision Trees,4
117,How can overfitting be addressed in decision trees?,Decision Trees,4
118,"To set a baseline for determining if a classifier is acceptable, which of the following could be utilized?",Classification,4
119,Why does a decision tree struggle with oblique splits?,Decision Trees,4
120,"When providing a probability estimate for an example's classification using a decision tree, which method would be used?",Decision Trees,4
121,"In the Apriori algorithm, what is the significance of the ""pruning"" step?",Decision Trees,5
122,"In the context of association rules, what is lift?",Association Rules,5
123,What does a high lift value indicate in association rule mining?,Association Rules,5
124,How does increasing the confidence threshold impact the number of generated association rules?,Association Rules,5
125,What is the primary advantage of using FP-growth over the Apriori algorithm?,Apriori Algorithm,5
126,"What role does the ""confidence"" measure play in evaluating association rules?",Association Rules,5
127,"In the context of association rules, when is a rule considered ""interesting""?",Association Rules,5
128,"Given that {a,b}, {b,c} and {a,c} are frequent itemsets, then:",Association Rules,5
129,Which statement is false regarding FP-growth algorithms?,FP-growth,5
130,Which option is a technique for enhancing the efficiency of the Apriori algorithm?,Apriori Algorithm,5
131,What describes the relationship between a candidate and frequent itemsets?,Unsupervised Learning,5
132,What happens when the support is reduced?,Rule Metrics,5
133,"If both Apriori and FP-Growth are configured with the same support and confidence thresholds and applied to the same dataset, what can we say about the obtained association rules:",Association Rules,5
134,What is the relationship between support and confidence?,Rule Metrics,5
135,What is the advantage of grouping transactions for each customer as separate databases:,Association Rules,5
136,What will happen when grouping items that a customer purchased over different days into a single one transaction?,Association Rules,5
137,"If {A, B, C, D} is a frequent item set, a candidate rule which is not possible is:",Association Rules,5
138,"You are working in a company and analyzing all the transactions that happened over the past week. You observe that out of the five hundred transactions that happened, two hundred of them had a mobile phone in them. What is the support for mobile phones in the last week?",Association Rules,5
139,How does the choice of the minimum support threshold affect the results of association rule mining?,Association Rules,5
140,What is the main limitation of the Apriori algorithm when dealing with large datasets?,Apriori Algorithm,5
141,"What is the purpose of the ""join"" operation in the Apriori algorithm?",Data Types,5
142,"In FP-growth, how does the frequent pattern (FP) tree help discover frequent itemsets?",FP-growth,5
143,"Explain the concept of ""negative association rules"" and provide a scenario where they might be useful.",Association Rules,5
144,How can we convert a binary classification problem with binary attributes to an association rule mining task?,Data Types,5
145,"When a binary classification problem with binary attributes is converted to an association rule mining task, the confidence of the rule is equivalent to:",Data Types,5
146,"A teacher wants to detect cheating students in a quiz through association rule mining, which approach could be used? Here the item is a combination (Question, Answer).",Association Rules,5
147,A teacher aims to analyze dependent concepts that hinder understanding of a target concept by analyzing students' quiz answers. Which approach could be effective?,General,5
148,"Given a rule X⇒Y with Confidence(X⇒Y) > minConf and Support(Y) = 100%, what does this indicate?",Rule Metrics,5
149,"We have a dataset of transactions, with each transaction associated with a specific customer. What is the most effective method for suggesting personalized products based on the customer's historical purchases?",Association Rules,5
150,"When we combine frequent K-itemsets to construct (K+1)-itemsets, which of the following statements is accurate?",Association Rules,5
