Question ID,question_text,options,correct_answer,topic,difficulty,num_words,qstn_complexity
14,What is the type of this attribute: Social security number,A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Nominal,Data Types,medium,10,8.370000000000001
15,What is the type of this attribute: Number of courses registered by a student in a semester,A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Ratio,Data Types,medium,17,9.08705882352941
16,What is the type of this attribute: Speed of a car (in miles per hour),A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Continuous | Ratio,Data Types,easy,15,4.420000000000002
17,"What is the type of this attribute: Movie ratings provided by users: 1, 2, 3, or 4-stars",A. Binary | B. Discrete | C. Continuous | D. Nominal | E. Ordinal | F. Interval | G. Ratio,Discrete | Ordinal,Data Types,easy,17,8.39294117647059
18,In which task does the primary goal involve finding patterns or relationships between variables without the need for predefined labels or categories?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Clustering | Association Rules,Unsupervised Learning,hard,22,14.98090909090909
19,An algorithm that finds relationships between items in a transactional database is used for:,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Association Rules,Unsupervised Learning,easy,14,12.62714285714286
20,"Which task involves predicting a binary outcome, typically represented as 0 or 1?",A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Classification | Anomaly Detection,Data Types,hard,13,11.264615384615386
21,What data mining task is often employed to determine the relationship between a dependent variable and one or more independent variables in order to make predictions?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Classification | Regression,Data Mining Tasks,hard,26,17.242307692307694
22,In which task do you aim to reduce the number of attributes in a dataset while preserving the most relevant information?,A. Classification | B. Regression | C. Dimensionality Reduction | D. Clustering | E. Association Rules | F. Anomaly Detection,Dimensionality Reduction,Data Types,easy,21,10.580952380952379
23,Which of the following visualization techniques can be used to explore the relationship between two numerical variables?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Scatter plot | Heatmap,Unsupervised Learning,hard,17,15.334117647058822
24,Which of the following visualization techniques can be used to explore the relationship between a continuous and categorical variable?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Box plot | Histogram,Data Types,hard,19,17.28315789473685
25,Which of the following visualization techniques can be used to explore the relationship between two categorical variables?,A. Scatter plot | B. Bar chart | C. Box plot | D. Heatmap | E. Histogram,Bar chart | Heatmap,Unsupervised Learning,hard,17,16.028235294117646
26,Which statistical measures  are useful for quantifying the dispersion or variation of an attribute?,A. Variance | B. Median Absolute Deviation (MAD) | C. Range | D. Mode | E. Covariance | F. Interquartile mean (IQM),Variance | Median Absolute Deviation (MAD) | Range,Data Types,hard,14,14.312857142857148
27,What is the primary purpose of data discretization in data pre-processing?,A. To remove missing values from the dataset | B. To convert categorical data into numerical data | C. To reduce the number of distinct values in a continuous feature | D. To perform clustering on the data | E. To normalize data using z-score scaling,To reduce the number of distinct values in a continuous feature,Data Preprocessing,easy,11,11.22727272727273
28,What is the primary goal of data pre-processing techniques like feature scaling or normalization?,A. To increase the dimensionality of the data | B. To add more features to the dataset | C. To reduce the impact of outliers | D. To make the data more complex | E. To improve the convergence of machine learning algorithms,To reduce the impact of outliers | To improve the convergence of machine learning algorithms,Scaling & Normalization,medium,14,12.62714285714286
29,Which data pre-processing technique is used for scaling features to have a mean of 0 and a standard deviation of 1?,A. Z-Score Scaling | B. Min-Max Scaling | C. Discretization | D. PCA | E. Aggregation,Z-Score Scaling,Scaling & Normalization,easy,21,10.580952380952379
30,What is the primary purpose of data sampling in data pre-processing?,A. To reduce the number of features in the dataset | B. To create a representative subset of the dataset | C. To merge two or more datasets | D. To convert categorical data into numerical data | E. To perform dimensionality reduction,To create a representative subset of the dataset,Data Preprocessing,easy,11,10.154545454545456
31,What is the primary goal of dimensionality reduction techniques in data mining?,A. To increase the number of features. | B. To improve model performance. | C. To add noise to the data. | D. To create complex models. | E. To reduce model complexity.,To improve model performance. | To reduce model complexity.,Data Mining Tasks,medium,12,12.690000000000001
32,Feature selection aims to:,A. Create new features from the existing ones | B. Reduce the number of irrelevant or redundant features | C. Increase the complexity of the model | D. Enhance the interpretability of the model | E. Introduce noise to the data,Reduce the number of irrelevant or redundant features | Enhance the interpretability of the model,Feature Selection,medium,4,6.620000000000001
33,Which of the following is an example of a feature extraction technique?,A. Recursive Feature Elimination (RFE). | B. Principal Component Analysis (PCA). | C. Information Gain. | D. Forward Selection. | E. Decision Trees.,Principal Component Analysis (PCA).,Feature Extraction,easy,12,8.756666666666668
34,"In PCA, what is the primary goal of orthogonal transformation?",A. To increase the number of features. | B. To create correlated features. | C. To reduce the number of features. | D. To amplify noise in the data. | E. To make the data non-linear.,To reduce the number of features.,Principal Component Analysis,easy,10,9.55
35,How are principal components in PCA ordered in terms of importance?,A. Randomly. | B. By their magnitude of eigenvalues. | C. Alphabetically. | D. By their position in the original dataset. | E. By their correlation with the target variable.,By their magnitude of eigenvalues.,Principal Component Analysis,easy,11,8.009090909090911
36,Which of the following is an advantage of PCA?,A. It guarantees that no information is lost during dimensionality reduction. | B. It helps to interpret the meaning of the original features. | C. It is not affected by multicollinearity in the data. | D. It can be applied to high-dimensional data efficiently. | E. It is only applicable to categorical data.,It can be applied to high-dimensional data efficiently.,Principal Component Analysis,medium,9,4.964444444444446
37,Feature extraction differs from feature selection in that it:,"A. Create new features to the dataset. | B. Only selects the most important features, without creating new ones. | C. Reduces the number of observations in the dataset. | D. Randomly shuffles the order of the features. | E. Converts categorical variables into numerical ones.",Create new features to the dataset.,Feature Selection,easy,9,8.89777777777778
38,"In PCA, what is the role of eigenvalues and eigenvectors in the dimensionality reduction process?",A. Determine the direction of the principal components. | B. Used to scale the original features. | C. Used to sort the data. | D. Used to identify the principal components. | E. Represent the number of samples in the dataset.,Used to identify the principal components.,Principal Component Analysis,hard,15,12.286666666666669
39,"In PCA, what are the principal components?",A. Original features of the dataset. | B. The features selected through feature selection. | C. Linear combinations of the original features. | D. The most important data points.,Linear combinations of the original features.,Principal Component Analysis,easy,7,5.682857142857145
40,Which principal component explains the most variance in the data?,A. The first principal component. | B. The last principal component. | C. It depends on the dataset. | D. All principal components explain the same variance.,The first principal component.,Principal Component Analysis,easy,10,9.55
41,"In PCA, how is the number of retained principal components is determined?",A. By choosing a fixed number. | B. By selecting all the components. | C. Based on cumulative explained variance. | D. Chosen randomly.,Based on cumulative explained variance.,Principal Component Analysis,easy,12,8.756666666666668
42,What is the relationship between the first principal component (PC1) and the second principal component (PC2)?,A. PC1 and PC2 are always orthogonal to each other. | B. PC1 is a linear combination of PC2. | C. PC2 is a scaled version of PC1. | D. PC1 and PC2 have opposite directions.,PC1 and PC2 are always orthogonal to each other.,Principal Component Analysis,easy,16,12.037500000000005
43,"When performing PCA, what is the role of the covariance matrix of the original features?",A. It's used to calculate the eigenvalues. | B. It's transformed into a correlation matrix. | C. It's not used in PCA. | D. It's used to calculate the principal components.,It's used to calculate the eigenvalues. | It's used to calculate the principal components.,Principal Component Analysis,medium,15,9.140000000000004
44,What is the main drawback of using PCA for dimensionality reduction?,A. It can lead to overfitting. | B. It may not preserve the interpretability of the original features. | C. It can be sensitive to outliers in the data. | D. It is computationally expensive.,It may not preserve the interpretability of the original features.,Data Mining Tasks,easy,11,10.154545454545456
45,"When we apply the SVD decomposition directly on the centered data matrix X, we obtain:","A. The same eigenvectors and eigenvalues of the covariance matrix. | B. The same eigenvectors, but different eigenvalues of the covariance matrix. | C. Different eigenvectors and the same eigenvalues of the covariance matrix. | D. Different eigenvectors and different eigenvalues of the covariance matrix.","The same eigenvectors, but different eigenvalues of the covariance matrix.",Principal Component Analysis,hard,15,10.713333333333338
46,"When a scaled data is uniformly distributed within a sphere centered at the origin, the eigenvalues of the PCs are:",A. Equal for all principal components (All Equal). | B. Varied (Different). | C. All equal to zero (All equal to Zero).,Equal for all principal components (All Equal).,Principal Component Analysis,easy,20,12.860000000000003
47,"The information gain of a categorical variable with itself IG(x,x) is equal to:",A. Entropy(x) | B. 0 | C. 1 | D. 0.5,Entropy(x),Decision Trees,hard,13,12.172307692307694
48,The maximum value of entropy for a categorical variable with n categories is:,A. 1 | B. n | C. log2(n) | D. 1/(n-1),log2(n),Decision Trees,easy,13,14.895384615384618
49,How many trained models are required to select the initial attribute in forward selection when there are 100 original attributes?,A. 1 | B. 50 | C. 100 | D. 1000,100,Data Types,hard,20,14.040000000000003
50,What feature selection technique is capable of identifying intricate relationships and interactions among features when employed as predictors?,A. Wrapper methods. | B. Filter methods. | C. Unsupervised feature selection.,Wrapper methods.,Feature Selection,easy,18,18.307777777777783
51,What feature selection method would be most suitable for a high-dimensional dataset with millions of features?,A. Wrapper method. | B. Filter method. | C. Backward elimination.,Filter method.,Feature Selection,easy,16,11.3
52,"Consider a dataset that can be fully expressed in m dimensions. This dataset is rotated and expressed in a higher n-dimensional space, where n > m. In the PCA decomposition of this rotated dataset, how many eigenvalues will be zero",A. m eigenvalues will be zero. | B. n eigenvalues will be zero. | C. n - m eigenvalues will be zero. | D. No eigenvalues will be zero.,n - m eigenvalues will be zero.,Principal Component Analysis,easy,40,8.541538461538462
53,What is the primary purpose of Feature Subset Selection in data mining?,A. To increase the complexity of the model. | B. To reduce the generalization capabilities of the model. | C. To introduce noise to the data. | D. To evaluate a large number of features and select a few for the final implementation.,To evaluate a large number of features and select a few for the final implementation.,Feature Selection,easy,12,9.740000000000002
54,Which of the following statements is true regarding the information gain of a feature?,A. Information gain is always high for features with high cardinality. | B. Information gain is independent of the target variable. | C. Information gain measures how much a feature reduces uncertainty about the target variable when added to the model.,Information gain measures how much a feature reduces uncertainty about the target variable when added to the model.,Decision Trees,easy,14,9.255714285714287
55,"In the context of feature selection, what does ""impurity"" represent when evaluating candidate features?",A. The cost of including a feature in the model. | B. The level of unpredictability or disorder in the data when using a feature. | C. The complexity of the dataset after adding a feature. | D. Impurity is not relevant in feature selection.,The level of unpredictability or disorder in the data when using a feature.,Feature Selection,easy,14,15.15571428571429
56,"In the process of feature selection, what is the role of the ""Objective Function"" and ""Search Strategy""?","A. The objective function guides the search strategy in finding feature subsets, while the search strategy quantifies the quality of subsets. | B. The search strategy is responsible for guiding the search process efficiently, while the objective function evaluates the quality of candidate feature subsets. | C. Both are two interchangeable terms describing the same concept. | D. Both are unrelated to the process of feature selection.","The search strategy is responsible for guiding the search process efficiently, while the objective function evaluates the quality of candidate feature subsets.",Feature Selection,hard,17,9.08705882352941
57,"In genetic algorithms for feature selection, what role does the ""crossover operator"" play in the process?",A. Determines which features should be removed from the dataset. | B. Selects the best individual feature from the population. | C. Combines information from two parent feature subsets to create new feature subsets. | D. Evaluates the fitness of the entire population.,Combines information from two parent feature subsets to create new feature subsets.,Feature Selection,easy,16,12.775000000000002
58,What are the primary advantages of unsupervised feature selection methods when compared to other feature selection methods?,A. Unsupervised methods guarantee the selection of the best features. | B. Unsupervised methods optimize for prediction accuracy. | C. Unsupervised methods handle feature interaction effectively. | D. Unsupervised methods do not require labels for feature selection.,Unsupervised methods do not require labels for feature selection.,Feature Selection,easy,17,15.334117647058822
59,"When comparing feature selection methods, what is a shared disadvantage of both filter and unsupervised methods?",A. They are computationally intensive. | B. They require domain knowledge for effective use. | C. They may miss complex relationships and interactions between features. | D. They are typically slow and not scalable.,They may miss complex relationships and interactions between features.,Feature Selection,easy,16,12.775000000000002
60,What is a distinguishing characteristic of filter methods in feature selection when compared to  wrapper methods?,A. Filter methods optimize for specific machine learning algorithms. | B. Filter methods are computationally intensive and thorough. | C. Filter methods evaluate features independently using statistical measures. | D. Filter methods rely on domain knowledge for feature selection.,Filter methods evaluate features independently using statistical measures.,Feature Selection,easy,16,13.5125
61,What is the impact of outliers on K-means clustering?,A. Outliers have no impact on K-means. | B. Outliers can significantly influence the position of centroids. | C. K-means automatically identifies and excludes outliers. | D. Outliers are treated as separate clusters.,Outliers can significantly influence the position of centroids.,K-means Clustering,easy,9,6.2755555555555596
62,How does the choice of the number of clusters (K) affect the performance of K-means?,A. It has no impact on the performance. | B. An inappropriate choice can lead to poor clustering results. | C. K-means automatically determines the optimal number of clusters. | D. An inappropriate choice may label some data points as outliers.,An inappropriate choice can lead to poor clustering results.,K-means Clustering,easy,15,5.993333333333336
63,"In agglomerative hierarchical clustering, what does the term ""linkage"" refer to?",A. The connectivity between data points. | B. The order in which clusters are merged. | C. The distance measure between clusters. | D. The density of clusters.,The distance measure between clusters.,Hierarchical Clustering,easy,11,12.3
64,What is the primary goal of unsupervised learning?,A. Minimize prediction errors. | B. Predict target labels for new data points. | C. Discover patterns and relationships within data. | D. Classify data points into predefined categories.,Discover patterns and relationships within data.,Unsupervised Learning,easy,8,8.180000000000003
65,What is the primary challenge in evaluating the performance of unsupervised learning algorithms?,A. Lack of labeled data for comparison. | B. Overfitting to the training dataset. | C. Difficulty in handling outliers. | D. Inability to handle non-linear relationships.,Lack of labeled data for comparison.,Unsupervised Learning,easy,13,15.803076923076926
66,How does DBSCAN handle outliers?,A. Assigns them to the nearest cluster | B. Labels them as noise/outliers | C. Includes them in all clusters | D. Computes a separate cluster for outliers,Labels them as noise/outliers,DBSCAN,easy,5,7.600000000000001
67,"What does the ""dendrogram"" represent in hierarchical clustering?",A. Cluster centroids | B. Cluster assignments | C. Cluster density | D. None of the above,Cluster assignments,Hierarchical Clustering,medium,8,12.605000000000004
68,"In hierarchical clustering, what is the role of the ""cut-off"" in dendrogram visualization?",A. Define the number of clusters | B. Determine the linkage method | C. Set the convergence threshold | D. Control the learning rate,Define the number of clusters,Hierarchical Clustering,easy,13,12.172307692307694
69,Which criterion is commonly used to determine the optimal number of clusters in K-means?,A. Silhouette coefficient | B. Entropy | C. Precision | D. F1-score,Silhouette coefficient,K-means Clustering,easy,14,10.941428571428574
70,"In K-means clustering, how do you determine the optimal number of clusters?",A. Use a scree plot to identify the elbow point | B. Use a random number generator to pick the number of clusters | C. Use a dendrogram to visualize the hierarchical structure of the data | D. Use a confusion matrix to assess the accuracy of the clustering,Use a scree plot to identify the elbow point,K-means Clustering,easy,12,8.756666666666668
71,What is the purpose of a dendrogram in hierarchical clustering?,A. To show the relationship between the clusters | B. To identify the optimal number of clusters | C. To determine the direction of the clusters | D. To assess the quality of the clusters,To show the relationship between the clusters,Hierarchical Clustering,easy,10,9.55
72,Hierarchical clustering is a deterministic algorithm. What does this mean?,"A. The results of the algorithm will always be the same, regardless of the input data | B. The results of the algorithm will be different, depending on the order in which the data is processe | C. The results of the algorithm will be different, depending on the choice of linkage metho | D. The results of the algorithm will be different, depending on the initialization of the clusters.","The results of the algorithm will always be the same, regardless of the input data",Hierarchical Clustering,medium,10,12.320000000000004
73,Why is cluster evaluation important?,A. To ensure that the clustering results are accurate and reliable | B. To check non-randomness in the data | C. To select the best clustering algorithm for a particular task | D. All of the above,All of the above,Model Evaluation,easy,5,14.68
74,"In clustering evaluation, what does entropy measure?",A. The homogeneity of the clusters in terms of class labels | B. The fraction of correct assignments | C. How compact clusters are | D. Distance between centroids,The homogeneity of the clusters in terms of class labels,Similarity Measures,easy,7,14.111428571428572
75,"In clustering evaluation, what does higher precision mean:",A. More objects of a class in a cluster | B. More clusters containing a class | C. Larger fraction of a cluster is one class | D. More distinct clusters,Larger fraction of a cluster is one class,Model Evaluation,medium,8,12.605000000000004
76,Which points cannot be directly density-reachable from any border point?,A. Another border point | B. A noise point | C. A core point | D. Any of the above,A noise point,DBSCAN,easy,10,9.55
77,What is the disadvantage of the DBSCAN algorithm?,A. Poor performance on high-dimensional data | B. Requires many scans of the dataset | C. Sensitive to the order of data points | D. Unable to detect clusters of varying density,Poor performance on high-dimensional data,DBSCAN,medium,8,9.655000000000001
78,"Suppose that for a data set: there are m points and K clusters, half the points and clusters are in “more dense” regions, half the points and clusters are in “less dense” regions, and the two regions are well-separated from each other. Which of the following should occur to minimize the squared error when finding K clusters:",A. Centroids should be equally distributed between more dense and less | B. More centroids should be allocated to the less dense region. | C. More centroids should be allocated to the denser region.,More centroids should be allocated to the denser region.,K-means Clustering,medium,57,11.465350877192986
79,How is entropy used in cluster evaluation?,"A. Entropy can be used to measure the purity of a cluster, which is the proportion of data points in the cluster that belong to the same class. | B. Entropy can be used to measure the balance of a cluster, which is the distribution of data points from different classes within the cluster. | C. Entropy can be used to measure the separation between clusters, which is the difference in the entropy of different clusters. | D. All of the above","Entropy can be used to measure the purity of a cluster, which is the proportion of data points in the cluster that belong to the same class.",Decision Trees,easy,7,10.740000000000002
80,"Can K-means yield different clusterings with the same K in two runs? If yes, how to determine the best clustering?","A. No, this is mathematically impossible. | B. No, the same number of clusters K produces the same clustering. | C. Yes, SSE can be used to select the best cluster. | D. None of the above","Yes, SSE can be used to select the best cluster.",K-means Clustering,easy,20,4.830000000000002
81,"If DBSCAN has a very large radius (epsilon) and a small MinPoints, what can happen?",A. All the data points will be clustered together | B. All the data points will be considered outliers | C. All the data points will be border points | D. None of the above,All the data points will be clustered together,DBSCAN,easy,15,8.353333333333339
82,"If DBSCAN has a very small radius (epsilon) and a very large MinPoints, what can happen?",A. All the data points will be clustered together | B. All the data points will be considered outliers | C. All the data points will be border points | D. None of the above,All the data points will be considered outliers,DBSCAN,easy,16,9.087500000000002
83,"If we use K-means with K=1, where will the centroid be located?",A. The centroid will be located at some cluster | B. The centroid will be the average of all points | C. The centroid will not converge and keep moving | D. None of the above,The centroid will be the average of all points,K-means Clustering,easy,12,3.84
84,"If, in DBSCAN, the parameter MinPoints is set to two (2), then:",A. All data points will be either core points or outliers (no border points). | B. All data points will be border points. | C. No points can be core points. | D. None of the above.,All data points will be either core points or outliers (no border points).,DBSCAN,easy,12,5.806666666666668
85,"In a dataset with three clusters, where the density of the first cluster (C1) is smaller than the second cluster (C2), and the density of the second cluster is smaller than the third one. What cluster should be considered  When setting the radius (epsilon) of DBSCAN  ?",A. Only the first cluster (C1) with the lowest density is sufficient. | B. Only the second cluster (C2) is sufficient. | C. Only the third cluster (C3) with the highest density is sufficient. | D. None of the above.,Only the first cluster (C1) with the lowest density is sufficient.,DBSCAN,medium,47,11.080000000000002
86,"If the Silhouette coefficient of a data point x is zero, and all clusters are spherical with the same number of points, what does this imply?",A. This data point x is a centroid of one cluster. | B. This data point x is equidistant from two clusters. | C. This data point is x is assigned to the incorrect cluster. | D. None of the above.,This data point x is equidistant from two clusters.,Clustering Evaluation,easy,26,11.796153846153846
87,"If the Silhouette coefficient of a data point x is negative, and all clusters are spherical with the same number of points, what does this imply?",A. This data point x is a centroid of one cluster. | B. This data point x is equidistant from two clusters. | C. This data point is x is assigned to the incorrect cluster. | D. None of the above,This data point is x is assigned to the incorrect cluster.,Clustering Evaluation,easy,26,12.250000000000004
88,"If the cluster shapes are non-elliptical, which of the following algorithms may cluster the data incorrectly?",A. K-means | B. DBSCAN | C. Hierarchical clustering | D. None of the above,K-means,DBSCAN,easy,16,12.775000000000002
89,The disadvantage of complete linkage when used to calculate the distance between clusters is:,A. Sensitive to outliers | B. Unable to handle elliptical clusters | C. Tends to divide big clusters into small ones | D. None of the above,Tends to divide big clusters into small ones,Similarity Measures,easy,14,10.098571428571429
90,"In supervised cluster evaluation, if all examples with a supervised class label are evenly split into two pure clusters, then:","A. The entropy of the two clusters is 1, the recall of each one is 0.5. | B. The entropy of the two clusters is 0, the recall of each one is 1. | C. The entropy of the two clusters is 0, the recall of each one is 0.5. | D. The entropy of the two clusters is 1, the recall of each one is 1.","The entropy of the two clusters is 0, the recall of each one is 0.5.",Model Evaluation,hard,20,13.450000000000003
91,What is the main purpose of cross-validation in classification?,A. Feature selection | B. Model evaluation | C. Hyperparameter tuning | D. All of the above,Model evaluation,Classification,easy,9,11.520000000000003
92,"What does the term ""overfitting"" refer to in the context of classification models?",A. The model performs well on training data but poorly on unseen data | B. The model performs poorly on both training and unseen data | C. The model is perfectly generalized to any data | D. The model has too many parameters,The model performs well on training data but poorly on unseen data,Overfitting & Regularization,easy,13,9.44923076923077
93,"What does the term ""false positive"" represent in a confusion matrix?",A. Instances correctly identified as positive | B. Instances incorrectly identified as positive | C. Instances correctly identified as negative | D. Instances incorrectly identified as negative,Instances incorrectly identified as positive,Model Evaluation,easy,11,8.009090909090911
94,What is the purpose of pruning in decision trees?,A. Increase model complexity | B. Reduce overfitting | C. Reduce the number of parameters | D. Reduce model interpretability,Reduce overfitting,Decision Trees,easy,9,4.964444444444446
95,What is the disadvantage of decision trees?,A. Prone to overfitting | B. Not robust to outliers | C. Sensitive to feature scaling | D. Suitable for linear relationships only,Prone to overfitting,Decision Trees,easy,7,7.368571428571428
96,Decision tree learners may create biased trees if some classes dominate. What’s the solution of it?,A. Balance the dataset prior to fitting | B. Imbalance the dataset prior to fitting | C. Balance the dataset after fitting | D. None of the above,Balance the dataset prior to fitting,Decision Trees,easy,16,6.705000000000002
97,Which of the following is a disadvantage of leave-one-out cross-validation (LOOCV)?,A. High computational cost | B. Overestimation of model performance | C. Limited model generalization | D. Biased toward larger datasets,High computational cost,Cross-Validation,easy,11,12.3
98,What is the advantage of using cross-validation over a single train-test split?,A. It guarantees a larger training set | B. It provides multiple evaluations and provides a robust estimation | C. It speeds up the training process | D. It simplifies the model evaluation process,It provides multiple evaluations and provides a robust estimation,Cross-Validation,easy,12,10.723333333333333
99,"What does the term ""stratified cross-validation"" refer to?",A. Ensuring an equal distribution of target classes in each fold | B. Prioritizing one class over others during validation | C. Excluding certain features from the validation set | D. Randomly shuffling the data before splitting,Ensuring an equal distribution of target classes in each fold,Cross-Validation,easy,8,9.655000000000001
100,Which of the following is a method to handle imbalanced class distribution in decision trees?,A. Feature scaling | B. Stratified sampling | C. Random shuffling | D. Increasing the tree depth,Stratified sampling,Decision Trees,easy,15,10.713333333333338
101,Which of the following is a hyperparameter of Decision Trees:,A. Tree depth | B. Minimum number of samples in leafs | C. Minimum number of samples to split nodes | D. All of the above,All of the above,Decision Trees,easy,10,10.73
102,Which of the following methods can help to fine-tune tree depth in Decision Trees:,A. Trial and error | B. Random search | C. Learning curve | D. All of the above,All of the above,Decision Trees,easy,14,6.727142857142859
103,Which of the following metrics can be used with a dataset having unbalanced classes:,A. Accuracy | B. F-Score | C. Precision | D. All of the above,F-Score,K-means Clustering,hard,14,7.570000000000004
104,How can you detect underfitting from a learning curve?,"A. Bad results in train, but good results in test | B. Good results in train, but bad results in test | C. Bad results in both train and test | D. None of the above",Bad results in both train and test,Overfitting & Regularization,easy,9,6.2755555555555596
105,Which of the following can be a reason for overfitting:,A. Insufficient training data | B. Excessive model complexity | C. Too many training iterations | D. All of the above,All of the above,Overfitting & Regularization,easy,10,6.010000000000002
106,Which of the following can be a reason for underfitting:,A. Insufficient model complexity | B. Excessive training data | C. Too many training epochs | D. All of the above,Insufficient model complexity,Overfitting & Regularization,easy,10,7.190000000000001
107,Which of the following is true about non-parametric models as compared to parametric models:,A. They don't make prior assumptions on data's probability distribution | B. They are often more flexible and achieve better accuracy | C. They require more training data | D. All of the above,All of the above,Classification,medium,14,11.784285714285716
108,How can we handle the problem of underfitting in decision trees:,A. Increase the size of the tree | B. Add more attributes | C. Increase the size of the data | D. All of the above,All of the above,Decision Trees,medium,11,8.009090909090911
109,Which of the following evaluation methods is not appropriate if the size of the data is small?,A. Holdout Method | B. Cross-validation | C. Leave-One-Out Approach | D. All of the above,Holdout Method,Model Evaluation,medium,17,10.47529411764706
110,What is a decision boundary in the context of decision trees?,A. Rectilinears that separate different classes in the feature space | B. The point at which a decision tree splits the data | C. A measure of the complexity of a decision tree | D. All of the above,Rectilinears that separate different classes in the feature space,Decision Trees,easy,11,8.009090909090911
111,The highest possible value of the Gini index for a set containing n different types of objects is:,A. 0 | B. 1 | C. log(n) | D. None of the above,None of the above,Decision Trees,medium,18,10.441111111111113
112,The highest possible value of the miss classification error rate for a set containing n different types of objects is:,A. 0 | B. 1 | C. (n-1)/n | D. None of the above,(n-1)/n,Classification,easy,20,12.270000000000003
113,"If we use both Information gain and Gini gain to select the best split in a continuous variable, then:","A. We may find the same split position, as both measures (Gini and entropy) are consistent. | B. We might find different split positions even though the measures (Gini and entropy) are consistent. | C. We cannot find the same split positions, as the measures (Gini and entropy) used are inconsistent. | D. We may find different split positions because the measures (Gini and entropy) used are inconsistent.",We might find different split positions even though the measures (Gini and entropy) are consistent.,Decision Trees,easy,19,10.451578947368422
114,Which scenario allows a decision tree to split all training data into pure leaves?,"A. When some samples have identical attributes but belong to different classes. | B. Splitting into pure leaves is not possible. | C. If two examples belong to different classes, they must have at least one differing attribute.","If two examples belong to different classes, they must have at least one differing attribute.",Decision Trees,easy,14,9.255714285714287
115,How does a decision tree classify an example after training if it encounters a new attribute value that was not considered in a splitting condition?,"A. The example is not classified. | B. The most frequent class at the current node is assigned to the example | C. A random value from the supported attribute values is chosen, and the classification process continues. | D. None of the above",The most frequent class at the current node is assigned to the example,Decision Trees,easy,25,14.456
