Question ID,question_text,options,correct_answer
131,What describes the relationship between a candidate and frequent itemsets?,A. A candidate itemset is always a frequent itemset. | B. A frequent itemset must be a candidate itemset. | C. No relation exists between these two. | D. None of the above.,A frequent itemset must be a candidate itemset.
132,What happens when the support is reduced?,"A. The number of frequent itemsets remains the same. | B. Some itemsets will be added to the current set of frequent itemsets. | C. Some itemsets will become infrequent, while others will become frequent. | D. It cannot be determined.",Some itemsets will be added to the current set of frequent itemsets.
133,"If both Apriori and FP-Growth are configured with the same support and confidence thresholds and applied to the same dataset, what can we say about the obtained association rules:",A. Apriori and FP growth will give the same rules. | B. Apriori and FP growth will give different rules. | C. We cannot say anything about it.,Apriori and FP growth will give the same rules.
134,What is the relationship between support and confidence?,A. Support is always larger than or equal to confidence. | B. Confidence is always larger than or equal to support. | C. Support and confidence have no necessary relationships. | D. None of the above.,Support and confidence have no necessary relationships.
135,What is the advantage of grouping transactions for each customer as separate databases:,A. Extract personalized association rules. | B. Extract non-personalized association rules. | C. Reduce the number of rules. | D. There is no advantage.,Extract personalized association rules.
136,What will happen when grouping items that a customer purchased over different days into a single one transaction?,A. Association rules between some items may be lost. | B. The computational complexity may increase significantly. | C. The size of the dataset will increase significantly. | D. None of the above.,Association rules between some items may be lost.
137,"If {A, B, C, D} is a frequent item set, a candidate rule which is not possible is:",A. C –> A | B. D –> ABCD | C. A –> BC | D. B–> ADC,D –> ABCD
138,"You are working in a company and analyzing all the transactions that happened over the past week. You observe that out of the five hundred transactions that happened, two hundred of them had a mobile phone in them. What is the support for mobile phones in the last week?",A. 0.3 | B. 0.4 | C. 0.5 | D. 0.6,0.4
139,How does the choice of the minimum support threshold affect the results of association rule mining?,A. A higher minimum support threshold leads to more rules. | B. A lower minimum support threshold leads to more rules. | C. The minimum support threshold has no impact on the number of rules. | D. It affects the accuracy but not the number of rules.,A lower minimum support threshold leads to more rules.
140,What is the main limitation of the Apriori algorithm when dealing with large datasets?,A. It requires one passe over the dataset. | B. It cannot handle categorical data. | C. It is computationally expensive. | D. The number of generated rules is unpredictable.,It is computationally expensive.
141,"What is the purpose of the ""join"" operation in the Apriori algorithm?",A. It combines frequent itemsets to form candidate itemsets. | B. It removes infrequent itemsets from consideration. | C. It calculates the confidence of association rules. | D. It organizes the transaction database.,It combines frequent itemsets to form candidate itemsets.
142,"In FP-growth, how does the frequent pattern (FP) tree help discover frequent itemsets?","A. The FP tree is used to filter out infrequent itemsets from the dataset. | B. The FP tree is constructed to represent the hierarchical relationships between items, aiding efficient pattern discovery. | C. The FP tree is used to sort the itemsets. | D. The FP tree is a visualization tool for displaying frequent itemsets.","The FP tree is constructed to represent the hierarchical relationships between items, aiding efficient pattern discovery."
143,"Explain the concept of ""negative association rules"" and provide a scenario where they might be useful.",A. Negative association rules are not a valid concept in association rule mining. | B. Negative association rules indicate items that should not be bought together; they are useful in preventing incompatible purchases. | C. Negative association rules represent items that have a weak association; they help explore subtle relationships. | D. None of the above.,Negative association rules indicate items that should not be bought together; they are useful in preventing incompatible purchases.
144,How can we convert a binary classification problem with binary attributes to an association rule mining task?,"A. By treating attributes as items and identifying a frequent rule. | B. By treating both attributes and the target as items, aiming to discover frequent rules 'attributes ⇒ target'. | C. By treating both attributes and the target as items, with the goal of discovering frequent rules: 'attributes ⇒ target' and 'attributes ⇒ not(target)'. | D. None of the above","By treating both attributes and the target as items, with the goal of discovering frequent rules: 'attributes ⇒ target' and 'attributes ⇒ not(target)'."
145,"When a binary classification problem with binary attributes is converted to an association rule mining task, the confidence of the rule is equivalent to:",A. The precision in training set. | B. The recall in training set. | C. The accuracy in training set. | D. None of the above.,None of the above.
146,"A teacher wants to detect cheating students in a quiz through association rule mining, which approach could be used? Here the item is a combination (Question, Answer).","A. Identifying itemsets of correct (Question, Answer) pairs. | B. Identifying itemsets of incorrect (Question, Answer) pairs. | C. Cheating involves using ChatGPT, not copying from peers, and is undetectable with association rule mining. | D. None of the above.","Identifying itemsets of incorrect (Question, Answer) pairs."
147,A teacher aims to analyze dependent concepts that hinder understanding of a target concept by analyzing students' quiz answers. Which approach could be effective?,"A. Identify high confidence rules where the antecedent is an incorrect answer to a question of the target concept, and the consequent is incorrect answers to questions of prerequisite concepts. | B. Identify high confidence rules where the consequent is an incorrect answer to a question of the target concept, and the antecedent t is incorrect answers to questions of prerequisite concepts. | C. Identify high confidence rules where the antecedent is an correct answer to a question of the target concept, and the consequent is incorrect answers to questions of prerequisite concepts. | D. None of the above.","Identify high confidence rules where the consequent is an incorrect answer to a question of the target concept, and the antecedent t is incorrect answers to questions of prerequisite concepts."
148,"Given a rule X⇒Y with Confidence(X⇒Y) > minConf and Support(Y) = 100%, what does this indicate?",A. This rule is ineffective because knowing X doesn't provide additional information about Y. | B. This rule is valuable due to its high confidence. | C. This rule is ineffective because it appears in all transactions. | D. None of the above.,This rule is ineffective because knowing X doesn't provide additional information about Y.
149,"We have a dataset of transactions, with each transaction associated with a specific customer. What is the most effective method for suggesting personalized products based on the customer's historical purchases?",A. Extract rules having high confidence from the whole dataset. | B. Extract rules having high confidence from the dataset that contains only the transaction of this specific customer. | C. Extract rule having high confidence from the dataset that contains only the transaction of this specific customer if the number of the customer transaction exceeds a threshold otherwise extract the association rules from the entire dataset. | D. None of the above.,Extract rule having high confidence from the dataset that contains only the transaction of this specific customer if the number of the customer transaction exceeds a threshold otherwise extract the association rules from the entire dataset.
150,"When we combine frequent K-itemsets to construct (K+1)-itemsets, which of the following statements is accurate?","A. It is possible that some generated (K+1)-itemsets can be pruned because they may contain some infrequent K-itemsets. | B. Because we merged frequent itemsets, all the (K+1)-itemsets will be frequent. | C. We cannot prune any (K+1)-itemset without calculating its support. | D. None of the above.",It is possible that some generated (K+1)-itemsets can be pruned because they may contain some infrequent K-itemsets.
